N,precission,numberOfIterations,distance
675,1.0000000000000001E-7,107,5.7469099101865675E-9
675,1.0E-9,131,5.877644318236974E-11
685,0.001,53,7.972151047145797E-5
685,1.0E-5,78,6.312625089431394E-7
685,1.0000000000000001E-7,107,6.021464073540258E-9
685,1.0E-9,127,5.89492317859969E-11
695,0.001,52,9.40421293084273E-5
695,1.0E-5,81,5.856871727420479E-7
695,1.0000000000000001E-7,90,9.543337757966524E-9
695,1.0E-9,123,6.358677516158515E-11
705,0.001,52,9.316347800492204E-5
705,1.0E-5,83,5.699982273508931E-7
705,1.0000000000000001E-7,105,5.695418243422376E-9
705,1.0E-9,126,6.611855953474067E-11
715,0.001,55,7.47507632833081E-5
715,1.0E-5,72,8.438791081951875E-7
715,1.0000000000000001E-7,105,5.912851940231584E-9
715,1.0E-9,124,6.737319114346656E-11
725,0.001,54,7.72403751331151E-5
725,1.0E-5,83,6.34845688905913E-7
725,1.0000000000000001E-7,100,6.16187626745867E-9
725,1.0E-9,127,6.33482963563031E-11
735,0.001,55,7.523259000276319E-5
735,1.0E-5,78,5.852486608328862E-7
735,1.0000000000000001E-7,105,5.907726458350772E-9
735,1.0E-9,131,6.770937530550476E-11
745,0.001,57,6.3240173278476E-5
745,1.0E-5,79,6.293861725133244E-7
745,1.0000000000000001E-7,103,6.76845989568663E-9
745,1.0E-9,124,6.575138866165922E-11
755,0.001,54,7.159431865560388E-5
755,1.0E-5,73,7.672322830781359E-7
755,1.0000000000000001E-7,100,6.084837574849648E-9
755,1.0E-9,130,6.241223336648935E-11
765,0.001,53,7.722936888430429E-5
765,1.0E-5,78,6.281124973086008E-7
765,1.0000000000000001E-7,107,6.531815125892658E-9
765,1.0E-9,128,5.890137939644219E-11
775,0.001,53,8.105741356729974E-5
775,1.0E-5,74,6.820070824751963E-7
775,1.0000000000000001E-7,101,6.415168922138951E-9
775,1.0E-9,123,5.907327671653934E-11
785,0.001,55,7.666286911700599E-5
785,1.0E-5,76,6.083242876337039E-7
785,1.0000000000000001E-7,103,6.763510058950869E-9
785,1.0E-9,132,6.011618537095396E-11
795,0.001,52,9.870588963597602E-5
795,1.0E-5,74,7.024012903676314E-7
795,1.0000000000000001E-7,108,6.238477311429692E-9
795,1.0E-9,113,7.233182615841563E-11
805,0.001,52,9.94691875376168E-5
805,1.0E-5,72,8.411447313325851E-7
805,1.0000000000000001E-7,97,6.49407398657303E-9
805,1.0E-9,110,8.241020416191094E-11
815,0.001,55,6.87960726919332E-5
815,1.0E-5,74,7.059338358683006E-7
815,1.0000000000000001E-7,96,6.499524065558663E-9
815,1.0E-9,123,6.166259362079413E-11
