N,precission,numberOfIterations,distance
825,1.0E-5,65,4.612516056021846E-6
825,1.0000000000000001E-7,83,5.666753023325751E-8
825,1.0E-9,115,4.534337390933611E-10
835,0.001,45,5.524293969542013E-4
835,1.0E-5,70,4.0191128989442556E-6
835,1.0000000000000001E-7,96,4.439980621622633E-8
835,1.0E-9,122,4.2553871690701923E-10
845,0.001,47,4.5816432355576226E-4
845,1.0E-5,64,5.786377948561867E-6
845,1.0000000000000001E-7,89,4.205278278066543E-8
845,1.0E-9,121,3.85910691018374E-10
855,0.001,45,5.558431303257181E-4
855,1.0E-5,64,5.826799244592708E-6
855,1.0000000000000001E-7,84,5.422156075350142E-8
855,1.0E-9,119,4.336929682724847E-10
865,0.001,47,4.4446644155063186E-4
865,1.0E-5,66,4.654842805950924E-6
865,1.0000000000000001E-7,92,4.091861269883828E-8
865,1.0E-9,116,4.153647156601351E-10
875,0.001,45,5.646279034561873E-4
875,1.0E-5,72,4.017264284592028E-6
875,1.0000000000000001E-7,86,4.338363191715278E-8
875,1.0E-9,119,4.201455563117251E-10
885,0.001,45,5.796142773215052E-4
885,1.0E-5,65,5.329245006466579E-6
885,1.0000000000000001E-7,94,4.499939077437017E-8
885,1.0E-9,110,4.4520282622310254E-10
895,0.001,46,5.382828773714574E-4
895,1.0E-5,71,4.122977179323774E-6
895,1.0000000000000001E-7,95,4.018151594294979E-8
895,1.0E-9,123,3.9177053928554374E-10
905,0.001,45,5.784761876136478E-4
905,1.0E-5,66,4.949790728123013E-6
905,1.0000000000000001E-7,86,4.721094416835547E-8
905,1.0E-9,105,4.631402275377353E-10
915,0.001,48,4.246657184392881E-4
915,1.0E-5,64,5.9122140593897844E-6
915,1.0000000000000001E-7,84,4.814922719237593E-8
915,1.0E-9,117,4.380637362408374E-10
925,0.001,46,5.457090193120754E-4
925,1.0E-5,66,4.8137982888596725E-6
925,1.0000000000000001E-7,88,4.613650067504504E-8
925,1.0E-9,115,4.090074854818916E-10
935,0.001,46,5.1776687183057E-4
935,1.0E-5,67,4.564605246103908E-6
935,1.0000000000000001E-7,91,4.478372333367926E-8
935,1.0E-9,119,4.1010077570110216E-10
945,0.001,46,4.874252727979171E-4
945,1.0E-5,65,4.8498112732636545E-6
945,1.0000000000000001E-7,85,5.016802380329604E-8
945,1.0E-9,113,4.09143908353574E-10
955,0.001,45,5.875992626797796E-4
955,1.0E-5,68,4.678843021493358E-6
955,1.0000000000000001E-7,90,4.080748034090036E-8
955,1.0E-9,119,3.848084420092432E-10
965,0.001,45,5.912115231225343E-4
965,1.0E-5,67,4.29825272438642E-6
965,1.0000000000000001E-7,87,4.673606902974942E-8
965,1.0E-9,104,5.200425430392846E-10
975,0.001,46,5.207815717697647E-4
975,1.0E-5,70,4.204084718100252E-6
975,1.0000000000000001E-7,88,4.084892905142421E-8
975,1.0E-9,113,4.0853934469745915E-10
985,0.001,48,4.906042690938967E-4
985,1.0E-5,65,5.336429311905846E-6
985,1.0000000000000001E-7,97,3.891838581849999E-8
985,1.0E-9,123,3.9414469240491493E-10
995,0.001,47,4.6659078862937243E-4
995,1.0E-5,64,6.086828676538558E-6
995,1.0000000000000001E-7,89,3.9326200197090526E-8
995,1.0E-9,116,4.0570303878638884E-10
