#N,type,distance,time
323,FLOAT,0.0,167
324,FLOAT,0.0,194
321,FLOAT,0.0,228
326,FLOAT,0.0,201
327,FLOAT,0.0,151
328,FLOAT,0.0,200
330,FLOAT,0.0,234
331,FLOAT,0.0,201
325,FLOAT,0.0,237
332,FLOAT,0.0,340
333,FLOAT,0.0,275
329,FLOAT,0.0,187
337,FLOAT,0.0,489
336,FLOAT,0.0,486
339,FLOAT,0.0,288
338,FLOAT,0.0,475
340,FLOAT,0.0,329
335,FLOAT,0.0,467
341,FLOAT,0.0,412
343,FLOAT,0.0,254
344,FLOAT,0.0,381
346,FLOAT,0.0,246
345,FLOAT,0.0,291
349,FLOAT,0.0,331
348,FLOAT,0.0,347
342,FLOAT,0.0,219
350,FLOAT,0.0,241
351,FLOAT,0.0,292
353,FLOAT,0.0,308
334,FLOAT,0.0,233
347,FLOAT,0.0,358
354,FLOAT,0.0,392
355,FLOAT,0.0,375
352,FLOAT,0.0,354
358,FLOAT,0.0,235
359,FLOAT,0.0,632
357,FLOAT,0.0,658
356,FLOAT,0.0,405
362,FLOAT,0.0,307
360,FLOAT,0.0,310
365,FLOAT,0.0,285
361,FLOAT,0.0,407
367,FLOAT,0.0,392
366,FLOAT,0.0,500
364,FLOAT,0.0,428
363,FLOAT,0.0,242
368,FLOAT,0.0,461
369,FLOAT,0.0,684
371,FLOAT,0.0,432
373,FLOAT,0.0,583
372,FLOAT,0.0,567
375,FLOAT,0.0,339
374,FLOAT,0.0,381
376,FLOAT,0.0,669
378,FLOAT,0.0,304
379,FLOAT,0.0,292
370,FLOAT,0.0,272
382,FLOAT,0.0,400
380,FLOAT,0.0,1088
381,FLOAT,0.0,926
385,FLOAT,0.0,662
384,FLOAT,0.0,589
383,FLOAT,0.0,405
386,FLOAT,0.0,351
388,FLOAT,0.0,434
377,FLOAT,0.0,685
389,FLOAT,0.0,427
387,FLOAT,0.0,353
390,FLOAT,0.0,819
394,FLOAT,0.0,419
392,FLOAT,0.0,1178
391,FLOAT,0.0,834
393,FLOAT,0.0,791
395,FLOAT,0.0,467
396,FLOAT,0.0,731
397,FLOAT,0.0,536
401,FLOAT,0.0,649
400,FLOAT,0.0,1118
402,FLOAT,0.0,433
399,FLOAT,0.0,383
403,FLOAT,0.0,554
398,FLOAT,0.0,367
404,FLOAT,0.0,579
405,FLOAT,0.0,609
409,FLOAT,0.0,916
410,FLOAT,0.0,340
406,FLOAT,0.0,336
411,FLOAT,0.0,368
407,FLOAT,0.0,596
408,FLOAT,0.0,800
412,FLOAT,0.0,559
413,FLOAT,0.0,432
415,FLOAT,0.0,663
414,FLOAT,0.0,727
417,FLOAT,0.0,597
416,FLOAT,0.0,948
419,FLOAT,0.0,435
420,FLOAT,0.0,732
421,FLOAT,0.0,607
418,FLOAT,0.0,363
423,FLOAT,0.0,486
424,FLOAT,0.0,659
425,FLOAT,0.0,855
426,FLOAT,0.0,440
427,FLOAT,0.0,447
422,FLOAT,0.0,585
428,FLOAT,0.0,750
429,FLOAT,0.0,639
431,FLOAT,0.0,467
433,FLOAT,0.0,718
434,FLOAT,0.0,460
435,FLOAT,0.0,536
430,FLOAT,0.0,595
436,FLOAT,0.0,833
437,FLOAT,0.0,696
432,FLOAT,0.0,787
438,FLOAT,0.0,466
441,FLOAT,0.0,805
443,FLOAT,0.0,418
440,FLOAT,0.0,1262
439,FLOAT,0.0,458
445,FLOAT,0.0,714
