#N,type,distance,time
374,DOUBLE,0.0,35
370,DOUBLE,0.0,20
377,DOUBLE,0.0,22
381,DOUBLE,0.0,19
382,DOUBLE,0.0,40
383,DOUBLE,0.0,20
384,DOUBLE,0.0,30
385,DOUBLE,0.0,20
386,DOUBLE,0.0,19
387,DOUBLE,0.0,19
388,DOUBLE,0.0,20
389,DOUBLE,0.0,67
378,DOUBLE,0.0,21
379,DOUBLE,0.0,20
391,DOUBLE,0.0,25
392,DOUBLE,0.0,26
376,DOUBLE,0.0,43
380,DOUBLE,0.0,26
395,DOUBLE,0.0,115
396,DOUBLE,0.0,24
397,DOUBLE,0.0,23
393,DOUBLE,0.0,25
399,DOUBLE,0.0,21
394,DOUBLE,0.0,24
401,DOUBLE,0.0,82
402,DOUBLE,0.0,20
403,DOUBLE,0.0,24
405,DOUBLE,0.0,22
398,DOUBLE,0.0,22
400,DOUBLE,0.0,26
390,DOUBLE,0.0,21
407,DOUBLE,0.0,88
406,DOUBLE,0.0,22
409,DOUBLE,0.0,24
408,DOUBLE,0.0,84
412,DOUBLE,0.0,27
411,DOUBLE,0.0,30
410,DOUBLE,0.0,104
414,DOUBLE,0.0,103
404,DOUBLE,0.0,93
415,DOUBLE,0.0,30
416,DOUBLE,0.0,27
418,DOUBLE,0.0,22
413,DOUBLE,0.0,41
422,DOUBLE,0.0,36
419,DOUBLE,0.0,27
420,DOUBLE,0.0,21
421,DOUBLE,0.0,20
424,DOUBLE,0.0,20
425,DOUBLE,0.0,19
428,DOUBLE,0.0,18
427,DOUBLE,0.0,20
429,DOUBLE,0.0,19
423,DOUBLE,0.0,18
430,DOUBLE,0.0,19
432,DOUBLE,0.0,21
433,DOUBLE,0.0,19
434,DOUBLE,0.0,19
435,DOUBLE,0.0,19
426,DOUBLE,0.0,35
437,DOUBLE,0.0,21
431,DOUBLE,0.0,29
438,DOUBLE,0.0,37
439,DOUBLE,0.0,29
436,DOUBLE,0.0,30
442,DOUBLE,0.0,20
443,DOUBLE,0.0,19
417,DOUBLE,0.0,19
444,DOUBLE,0.0,19
445,DOUBLE,0.0,19
446,DOUBLE,0.0,19
447,DOUBLE,0.0,19
449,DOUBLE,0.0,21
440,DOUBLE,0.0,19
450,DOUBLE,0.0,21
441,DOUBLE,0.0,28
