#N,type,distance,time
353,DOUBLE,0.0,642
334,DOUBLE,0.0,709
347,DOUBLE,0.0,835
354,DOUBLE,0.0,640
355,DOUBLE,0.0,809
352,DOUBLE,0.0,1047
358,DOUBLE,0.0,329
359,DOUBLE,0.0,953
357,DOUBLE,0.0,438
356,DOUBLE,0.0,493
362,DOUBLE,0.0,447
360,DOUBLE,0.0,444
365,DOUBLE,0.0,339
361,DOUBLE,0.0,516
367,DOUBLE,0.0,633
366,DOUBLE,0.0,1081
364,DOUBLE,0.0,662
363,DOUBLE,0.0,316
368,DOUBLE,0.0,740
369,DOUBLE,0.0,746
371,DOUBLE,0.0,690
373,DOUBLE,0.0,871
372,DOUBLE,0.0,1854
375,DOUBLE,0.0,618
374,DOUBLE,0.0,1100
376,DOUBLE,0.0,1199
378,DOUBLE,0.0,809
379,DOUBLE,0.0,725
370,DOUBLE,0.0,1265
382,DOUBLE,0.0,942
380,DOUBLE,0.0,1544
381,DOUBLE,0.0,1186
385,DOUBLE,0.0,744
384,DOUBLE,0.0,738
383,DOUBLE,0.0,726
386,DOUBLE,0.0,1017
388,DOUBLE,0.0,1058
377,DOUBLE,0.0,760
389,DOUBLE,0.0,508
387,DOUBLE,0.0,1295
390,DOUBLE,0.0,2424
394,DOUBLE,0.0,1492
392,DOUBLE,0.0,2386
391,DOUBLE,0.0,1778
393,DOUBLE,0.0,846
395,DOUBLE,0.0,1234
396,DOUBLE,0.0,1367
397,DOUBLE,0.0,750
401,DOUBLE,0.0,822
400,DOUBLE,0.0,1673
402,DOUBLE,0.0,1640
399,DOUBLE,0.0,853
403,DOUBLE,0.0,1283
398,DOUBLE,0.0,1777
404,DOUBLE,0.0,2218
405,DOUBLE,0.0,1197
409,DOUBLE,0.0,697
410,DOUBLE,0.0,1040
406,DOUBLE,0.0,1235
411,DOUBLE,0.0,830
407,DOUBLE,0.0,946
408,DOUBLE,0.0,1957
412,DOUBLE,0.0,960
413,DOUBLE,0.0,457
415,DOUBLE,0.0,1859
414,DOUBLE,0.0,2691
417,DOUBLE,0.0,936
416,DOUBLE,0.0,1391
419,DOUBLE,0.0,1099
420,DOUBLE,0.0,1410
421,DOUBLE,0.0,1223
418,DOUBLE,0.0,1505
423,DOUBLE,0.0,1065
424,DOUBLE,0.0,2084
425,DOUBLE,0.0,969
426,DOUBLE,0.0,2080
427,DOUBLE,0.0,1364
422,DOUBLE,0.0,1888
428,DOUBLE,0.0,1919
429,DOUBLE,0.0,766
431,DOUBLE,0.0,1987
433,DOUBLE,0.0,1123
434,DOUBLE,0.0,2299
435,DOUBLE,0.0,1202
430,DOUBLE,0.0,1962
436,DOUBLE,0.0,2194
437,DOUBLE,0.0,725
432,DOUBLE,0.0,1804
438,DOUBLE,0.0,1368
441,DOUBLE,0.0,786
443,DOUBLE,0.0,1069
440,DOUBLE,0.0,1767
439,DOUBLE,0.0,1044
445,DOUBLE,0.0,867
446,DOUBLE,0.0,1675
444,DOUBLE,0.0,1859
447,DOUBLE,0.0,1266
442,DOUBLE,0.0,2042
448,DOUBLE,0.0,1734
449,DOUBLE,0.0,1063
450,DOUBLE,0.0,2143
453,DOUBLE,0.0,1134
454,DOUBLE,0.0,2360
455,DOUBLE,0.0,1344
452,DOUBLE,0.0,1900
456,DOUBLE,0.0,2636
451,DOUBLE,0.0,1720
457,DOUBLE,0.0,1166
458,DOUBLE,0.0,2818
461,DOUBLE,0.0,968
460,DOUBLE,0.0,2533
462,DOUBLE,0.0,2496
463,DOUBLE,0.0,1307
459,DOUBLE,0.0,1715
465,DOUBLE,0.0,1863
467,DOUBLE,0.0,1662
466,DOUBLE,0.0,2433
469,DOUBLE,0.0,1579
470,DOUBLE,0.0,2609
471,DOUBLE,0.0,1086
468,DOUBLE,0.0,1568
464,DOUBLE,0.0,2707
472,DOUBLE,0.0,2430
473,DOUBLE,0.0,1656
477,DOUBLE,0.0,1515
474,DOUBLE,0.0,2848
478,DOUBLE,0.0,3244
479,DOUBLE,0.0,3029
476,DOUBLE,0.0,3480
481,DOUBLE,0.0,1676
480,DOUBLE,0.0,3048
482,DOUBLE,0.0,3120
475,DOUBLE,0.0,2238
484,DOUBLE,0.0,3279
485,DOUBLE,0.0,972
486,DOUBLE,0.0,2664
487,DOUBLE,0.0,1597
488,DOUBLE,0.0,2317
489,DOUBLE,0.0,1081
483,DOUBLE,0.0,2201
490,DOUBLE,0.0,2130
495,DOUBLE,0.0,2189
492,DOUBLE,0.0,3667
493,DOUBLE,0.0,1255
494,DOUBLE,0.0,3070
497,DOUBLE,0.0,1541
496,DOUBLE,0.0,2643
498,DOUBLE,0.0,3930
491,DOUBLE,0.0,3234
501,DOUBLE,0.0,1487
499,DOUBLE,0.0,2174
502,DOUBLE,0.0,3518
504,DOUBLE,0.0,2242
503,DOUBLE,0.0,1786
505,DOUBLE,0.0,2605
500,DOUBLE,0.0,4442
507,DOUBLE,0.0,2257
506,DOUBLE,0.0,3907
509,DOUBLE,0.0,2870
511,DOUBLE,0.0,1924
508,DOUBLE,0.0,2840
512,DOUBLE,0.0,3605
513,DOUBLE,0.0,1478
514,DOUBLE,0.0,4803
510,DOUBLE,0.0,3570
517,DOUBLE,0.0,1630
516,DOUBLE,0.0,3305
518,DOUBLE,0.0,3092
515,DOUBLE,0.0,2979
519,DOUBLE,0.0,2694
522,DOUBLE,0.0,3444
521,DOUBLE,0.0,1674
520,DOUBLE,0.0,3747
525,DOUBLE,0.0,1063
524,DOUBLE,0.0,2743
527,DOUBLE,0.0,2026
526,DOUBLE,0.0,2905
523,DOUBLE,0.0,4219
531,DOUBLE,0.0,2382
