#N,type,distance,time
462,FLOAT,0.0,34
454,FLOAT,0.0,32
461,FLOAT,0.0,35
464,FLOAT,0.0,32
465,FLOAT,0.0,25
467,FLOAT,0.0,29
451,FLOAT,0.0,38
463,FLOAT,0.0,37
470,FLOAT,0.0,31
471,FLOAT,0.0,29
469,FLOAT,0.0,29
466,FLOAT,0.0,27
474,FLOAT,0.0,45
468,FLOAT,0.0,53
475,FLOAT,0.0,35
477,FLOAT,0.0,51
473,FLOAT,0.0,42
476,FLOAT,0.0,54
478,FLOAT,0.0,64
472,FLOAT,0.0,27
482,FLOAT,0.0,39
483,FLOAT,0.0,30
481,FLOAT,0.0,30
485,FLOAT,0.0,41
480,FLOAT,0.0,28
487,FLOAT,0.0,35
488,FLOAT,0.0,29
484,FLOAT,0.0,40
479,FLOAT,0.0,27
486,FLOAT,0.0,36
490,FLOAT,0.0,36
492,FLOAT,0.0,28
489,FLOAT,0.0,31
496,FLOAT,0.0,36
495,FLOAT,0.0,35
494,FLOAT,0.0,28
498,FLOAT,0.0,35
499,FLOAT,0.0,57
500,FLOAT,0.0,28
491,FLOAT,0.0,32
501,FLOAT,0.0,33
503,FLOAT,0.0,29
504,FLOAT,0.0,27
493,FLOAT,0.0,33
497,FLOAT,0.0,33
507,FLOAT,0.0,25
508,FLOAT,0.0,41
509,FLOAT,0.0,25
511,FLOAT,0.0,33
506,FLOAT,0.0,31
505,FLOAT,0.0,24
513,FLOAT,0.0,30
502,FLOAT,0.0,29
514,FLOAT,0.0,33
510,FLOAT,0.0,54
516,FLOAT,0.0,31
518,FLOAT,0.0,61
512,FLOAT,0.0,30
519,FLOAT,0.0,29
520,FLOAT,0.0,34
522,FLOAT,0.0,31
517,FLOAT,0.0,30
523,FLOAT,0.0,42
521,FLOAT,0.0,31
515,FLOAT,0.0,36
527,FLOAT,0.0,29
528,FLOAT,0.0,46
524,FLOAT,0.0,33
525,FLOAT,0.0,30
531,FLOAT,0.0,41
526,FLOAT,0.0,33
529,FLOAT,0.0,31
534,FLOAT,0.0,38
532,FLOAT,0.0,34
530,FLOAT,0.0,37
537,FLOAT,0.0,29
538,FLOAT,0.0,28
535,FLOAT,0.0,39
536,FLOAT,0.0,33
539,FLOAT,0.0,52
542,FLOAT,0.0,43
540,FLOAT,0.0,36
533,FLOAT,0.0,31
543,FLOAT,0.0,29
541,FLOAT,0.0,31
546,FLOAT,0.0,61
544,FLOAT,0.0,37
547,FLOAT,0.0,33
548,FLOAT,0.0,31
545,FLOAT,0.0,39
552,FLOAT,0.0,38
553,FLOAT,0.0,33
551,FLOAT,0.0,63
549,FLOAT,0.0,40
550,FLOAT,0.0,36
557,FLOAT,0.0,38
558,FLOAT,0.0,32
554,FLOAT,0.0,29
555,FLOAT,0.0,44
556,FLOAT,0.0,69
