N,precission,omega,sor_iterations,jacobi_iterations
5,1.0E-5,0.7,46,56
10,1.0E-5,1.0999999999999999,24,56
5,1.0E-5,0.7999999999999999,38,56
5,1.0E-5,0.8999999999999999,31,56
10,1.0E-5,1.2,19,56
10,1.0E-5,1.3,18,56
10,1.0E-5,1.4000000000000001,20,56
10,1.0E-5,1.5000000000000002,24,56
10,1.0E-5,1.6000000000000003,32,56
10,1.0E-5,1.7000000000000004,43,56
10,1.0E-5,1.8000000000000005,69,56
10,1.0E-5,1.9000000000000006,144,56
10,1.0000000000000001E-7,1.0999999999999999,31,82
20,0.001,0.1,187,37
5,1.0E-5,0.9999999999999999,25,56
5,1.0E-5,1.0999999999999999,20,56
5,1.0E-5,1.2,14,56
5,1.0E-5,1.3,13,56
5,1.0E-5,1.4000000000000001,16,56
10,1.0000000000000001E-7,1.2,25,82
5,1.0E-5,1.5000000000000002,20,56
5,1.0E-5,1.6000000000000003,28,56
10,1.0000000000000001E-7,1.3,23,82
10,1.0E-9,1.9000000000000006,245,97
10,1.0000000000000001E-7,1.4000000000000001,26,82
20,0.001,0.2,105,37
10,1.0000000000000001E-7,1.5000000000000002,32,82
10,1.0000000000000001E-7,1.6000000000000003,41,82
10,1.0000000000000001E-7,1.7000000000000004,58,82
10,1.0000000000000001E-7,1.8000000000000005,92,82
10,1.0000000000000001E-7,1.9000000000000006,191,82
20,0.001,0.30000000000000004,73,37
5,1.0E-5,1.7000000000000004,39,56
5,1.0E-5,1.8000000000000005,61,56
5,1.0E-5,1.9000000000000006,124,56
20,0.001,0.4,55,37
20,0.001,0.5,44,37
20,1.0E-5,0.1,386,57
20,0.001,0.6,36,37
20,0.001,0.7,30,37
20,0.001,0.7999999999999999,25,37
20,1.0E-5,0.2,197,57
20,0.001,0.8999999999999999,21,37
20,1.0E-5,0.30000000000000004,129,57
20,0.001,0.9999999999999999,18,37
20,0.001,1.0999999999999999,15,37
20,0.001,1.2,13,37
20,1.0000000000000001E-7,0.1,646,76
20,0.001,1.3,13,37
20,1.0E-9,0.1,953,105
20,0.001,1.4000000000000001,14,37
20,1.0000000000000001E-7,0.2,330,76
20,0.001,1.5000000000000002,17,37
20,1.0E-9,0.2,472,105
20,0.001,1.6000000000000003,21,37
20,1.0E-5,0.4,95,57
20,1.0000000000000001E-7,0.30000000000000004,218,76
20,0.001,1.7000000000000004,29,37
20,1.0E-5,0.5,76,57
20,1.0000000000000001E-7,0.4,159,76
20,1.0E-5,0.6,63,57
20,1.0000000000000001E-7,0.5,123,76
20,1.0E-5,0.7,53,57
20,1.0E-9,0.30000000000000004,306,105
20,1.0E-9,0.4,220,105
20,1.0E-5,0.7999999999999999,45,57
20,1.0E-5,0.8999999999999999,38,57
20,0.001,1.8000000000000005,45,37
20,1.0000000000000001E-7,0.6,97,76
20,1.0E-5,0.9999999999999999,31,57
20,0.001,1.9000000000000006,93,37
